"heading","summary","contents","is_published"
"Coral Reef Resort Adds Sunset Cruise Service","Guests can now enjoy evening cruises along the coast.","Coral Reef Resort has launched a sunset cruise service featuring live music, refreshments, and scenic views.","True"
"Marina Skyline Hotel Opens Business Center","New facility supports corporate travelers.","Marina Skyline Hotel has opened a business center with meeting rooms, printing services, and fast internet.","True"
"Sakura View Hotel Offers Seasonal Cuisine Menu","Guests can enjoy dishes inspired by spring flavors.","Sakura View Hotel introduces a seasonal menu with fresh ingredients and traditional recipes.","True"
"Ubud Serenity Lodge Hosts Photography Workshop","Learn to capture the beauty of Bali.","Ubud Serenity Lodge offers a nature photography workshop led by local experts.","True"
"Lotus Lantern Hotel Launches Cultural Tours","Explore the city's heritage with guided tours.","Lotus Lantern Hotel now offers cultural tours to historic landmarks and artisan markets.","True"
"Coral Reef Resort Upgrades Fitness Center","New equipment and wellness classes available.","Coral Reef Resort has renovated its fitness center and added yoga, pilates, and training sessions.","True"
"Marina Skyline Hotel Introduces Express Check-In","Streamlined arrival process for guests.","Marina Skyline Hotel now offers express check-in via mobile app and self-service kiosks.","True"
"Sakura View Hotel Hosts Calligraphy Classes","Guests learn traditional writing techniques.","Sakura View Hotel offers weekly calligraphy classes taught by local artists.","True"
"Ubud Serenity Lodge Adds Meditation Garden","A peaceful space for relaxation and reflection.","Ubud Serenity Lodge has opened a meditation garden with tropical plants and water features.","True"
"Lotus Lantern Hotel Offers Cooking Demos","Discover local recipes with hotel chefs.","Lotus Lantern Hotel hosts cooking demonstrations showcasing regional dishes and techniques.","True"
"Coral Reef Resort Opens Marine Exhibit","Interactive marine education for families.","Coral Reef Resort has opened an exhibit with reef models, touch tanks, and conservation info.","True"
"Marina Skyline Hotel Hosts Jazz Nights","Live music every Friday evening.","Marina Skyline Hotel features jazz performances in the lounge with guest musicians.","True"
"Sakura View Hotel Adds Tea Lounge","Relax with premium teas and snacks.","Sakura View Hotel has opened a tea lounge offering rare blends and traditional service.","True"
"Ubud Serenity Lodge Expands Spa Menu","New treatments inspired by local traditions.","Ubud Serenity Lodge now offers herbal massages, stone therapy, and coconut oil facials.","True"
"Lotus Lantern Hotel Celebrates Art Week","Showcase of regional artists and crafts.","Lotus Lantern Hotel is hosting an art week with exhibits and meet-the-artist events.","True"
"Coral Reef Resort Offers Dive Courses","Learn to dive with certified instructors.","Coral Reef Resort provides diving courses for beginners and advanced divers.","True"
"Marina Skyline Hotel Adds Rooftop Cinema","Outdoor movie nights with skyline views.","Marina Skyline Hotel has launched a rooftop cinema showing classic and modern films.","True"
"Sakura View Hotel Hosts Origami Exhibit","Explore the art of paper folding.","Sakura View Hotel presents an origami exhibit with intricate designs and activities.","True"
"Ubud Serenity Lodge Launches Eco Garden","Guests can learn about sustainable farming.","Ubud Serenity Lodge has started an eco garden for planting and harvesting activities.","True"
"Lotus Lantern Hotel Offers Language Exchange","Practice languages with fellow travelers.","Lotus Lantern Hotel hosts weekly language exchange events in the lounge.","True"
